

Performance Summary

,All Trades,Long Trades,Short Trades,
6/3/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/2/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
6/1/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/31/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/30/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/29/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/28/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/27/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/26/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/25/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/24/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/23/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/22/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/21/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/20/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/19/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/18/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/17/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/16/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/15/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,
5/14/2018 - 5/12/2023,$3860.00,3.86%,1.12,66,40.91%,


Monthly

,,,,,,
TradeStation Periodical Returns: Monthly,,,,,,
,,,,,,
Mark-To-Market Monthly Average Analysis:,,,,,,
Period,Avg. Net Profit,% Gain,% Profitable,,,
,,,,,,
,,,,,,
,,,,,,
Mark-To-Market Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
5/1/2023,($410.00),-0.39%,0.00,1,0.00%,
4/1/2023,($630.00),-0.60%,0.31,2,50.00%,
3/1/2023,$470.00,0.45%,6.22,2,50.00%,
2/1/2023,$1880.00,1.83%,n/a,1,100.00%,
1/1/2023,($580.00),-0.56%,0.00,2,0.00%,
12/1/2022,($1230.00),-1.18%,0.00,1,0.00%,
11/1/2022,$230.00,0.22%,n/a,1,100.00%,
9/1/2022,($1000.00),-0.95%,0.00,1,0.00%,
8/1/2022,($680.00),-0.64%,0.00,1,0.00%,
7/1/2022,($1320.00),-1.23%,0.00,2,0.00%,
6/1/2022,($1310.00),-1.21%,0.00,1,0.00%,
5/1/2022,$1410.00,1.32%,n/a,2,100.00%,
4/1/2022,$490.00,0.46%,2.20,2,50.00%,
3/1/2022,($1130.00),-1.05%,0.38,2,50.00%,
2/1/2022,($1370.00),-1.26%,0.37,3,33.33%,
1/1/2022,$930.00,0.86%,n/a,1,100.00%,
12/1/2021,($670.00),-0.62%,0.33,2,50.00%,
11/1/2021,($440.00),-0.40%,0.56,2,50.00%,
10/1/2021,$1970.00,1.84%,n/a,2,100.00%,
9/1/2021,($240.00),-0.22%,0.62,2,50.00%,
8/1/2021,$900.00,0.84%,n/a,1,100.00%,
7/1/2021,($1790.00),-1.65%,0.00,2,0.00%,
6/1/2021,($210.00),-0.19%,0.00,1,0.00%,
5/1/2021,($2260.00),-2.04%,0.00,2,0.00%,
4/1/2021,$650.00,0.59%,n/a,2,100.00%,
3/1/2021,$2000.00,1.85%,n/a,1,100.00%,
2/1/2021,($1000.00),-0.92%,0.00,1,0.00%,
1/1/2021,($1180.00),-1.07%,0.00,1,0.00%,
12/1/2020,$1500.00,1.38%,3.38,3,66.67%,
11/1/2020,$50.00,0.05%,n/a,1,100.00%,
10/1/2020,$180.00,0.17%,1.18,2,50.00%,
9/1/2020,$1140.00,1.06%,23.80,3,66.67%,
8/1/2020,($1000.00),-0.92%,0.00,1,0.00%,
7/1/2020,$2230.00,2.10%,n/a,2,100.00%,
6/1/2020,($1170.00),-1.09%,0.00,1,0.00%,
5/1/2020,($1900.00),-1.74%,0.08,4,25.00%,
4/1/2020,$1760.00,1.64%,n/a,1,100.00%,
3/1/2020,$1910.00,1.81%,22.22,2,50.00%,
2/1/2020,$1000.00,0.96%,2.00,2,50.00%,
1/1/2020,$800.00,0.77%,n/a,1,100.00%,
12/1/2019,$250.00,0.24%,1.25,2,50.00%,
11/1/2019,($1000.00),-0.96%,0.00,1,0.00%,
10/1/2019,($1770.00),-1.66%,0.00,2,0.00%,
9/1/2019,$2500.00,2.41%,n/a,2,100.00%,
8/1/2019,($60.00),-0.06%,0.00,1,0.00%,
7/1/2019,($1190.00),-1.13%,0.00,1,0.00%,
6/1/2019,$190.00,0.18%,n/a,1,100.00%,
5/1/2019,($1120.00),-1.06%,0.00,2,0.00%,
4/1/2019,$510.00,0.48%,n/a,1,100.00%,
3/1/2019,($620.00),-0.58%,0.38,2,50.00%,
2/1/2019,($350.00),-0.33%,0.00,2,0.00%,
1/1/2019,$110.00,0.10%,1.11,2,50.00%,
12/1/2018,$1260.00,1.20%,n/a,1,100.00%,
11/1/2018,$740.00,0.71%,n/a,1,100.00%,
10/1/2018,$1850.00,1.80%,13.33,2,50.00%,
9/1/2018,($60.00),-0.06%,0.94,2,50.00%,
8/1/2018,$1640.00,1.62%,5.56,2,50.00%,
7/1/2018,$1000.00,1.00%,2.00,2,50.00%,
,,,,,,
Mark-To-Market Rolling Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
5/1/2023 - Today,($410.00),-0.39%,0.00,1,0.00%,
4/1/2023 - 5/1/2023,($1040.00),-0.99%,0.00,2,0.00%,
3/1/2023 - 5/1/2023,($570.00),-0.55%,0.50,3,33.33%,
2/1/2023 - 5/1/2023,$1310.00,1.28%,2.16,3,33.33%,
1/1/2023 - 5/1/2023,$730.00,0.71%,1.57,4,25.00%,
12/1/2022 - 5/1/2023,($500.00),-0.48%,0.80,5,20.00%,
11/1/2022 - 5/1/2023,($270.00),-0.26%,0.88,5,20.00%,
10/1/2022 - 5/1/2023,($270.00),-0.26%,0.88,5,20.00%,
9/1/2022 - 5/1/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/1/2022 - 5/1/2023,($1950.00),-1.84%,0.51,7,14.29%,
7/1/2022 - 5/1/2023,($3270.00),-3.05%,0.38,8,12.50%,
6/1/2022 - 5/1/2023,($4580.00),-4.22%,0.30,9,11.11%,
5/1/2022 - 5/1/2023,($3170.00),-2.96%,0.49,10,20.00%,
4/1/2022 - 5/1/2023,($2680.00),-2.52%,0.60,11,18.18%,
3/1/2022 - 5/1/2023,($3810.00),-3.54%,0.53,12,25.00%,
2/1/2022 - 5/1/2023,($5180.00),-4.75%,0.45,14,21.43%,
1/1/2022 - 5/1/2023,($4250.00),-3.93%,0.50,14,21.43%,
12/1/2021 - 5/1/2023,($4920.00),-4.52%,0.48,16,25.00%,
11/1/2021 - 5/1/2023,($5360.00),-4.91%,0.49,18,27.78%,
10/1/2021 - 5/1/2023,($3390.00),-3.16%,0.68,19,31.58%,
9/1/2021 - 5/1/2023,($3630.00),-3.38%,0.67,20,30.00%,
8/1/2021 - 5/1/2023,($2730.00),-2.56%,0.74,20,35.00%,
7/1/2021 - 5/1/2023,($4520.00),-4.17%,0.63,22,31.82%,
6/1/2021 - 5/1/2023,($4730.00),-4.36%,0.62,22,31.82%,
5/1/2021 - 5/1/2023,($6990.00),-6.31%,0.53,24,29.17%,
4/1/2021 - 5/1/2023,($6340.00),-5.75%,0.55,25,32.00%,
3/1/2021 - 5/1/2023,($4340.00),-4.01%,0.69,26,34.62%,
2/1/2021 - 5/1/2023,($5340.00),-4.89%,0.65,27,33.33%,
1/1/2021 - 5/1/2023,($6520.00),-5.91%,0.60,28,32.14%,
12/1/2020 - 5/1/2023,($5020.00),-4.61%,0.70,30,33.33%,
11/1/2020 - 5/1/2023,($4970.00),-4.57%,0.70,30,33.33%,
10/1/2020 - 5/1/2023,($4790.00),-4.41%,0.73,32,34.38%,
9/1/2020 - 5/1/2023,($3650.00),-3.40%,0.80,34,35.29%,
8/1/2020 - 5/1/2023,($4650.00),-4.29%,0.75,35,34.29%,
7/1/2020 - 5/1/2023,($2420.00),-2.28%,0.87,37,37.84%,
6/1/2020 - 5/1/2023,($3590.00),-3.34%,0.82,38,36.84%,
5/1/2020 - 5/1/2023,($5490.00),-5.02%,0.75,41,34.15%,
4/1/2020 - 5/1/2023,($3730.00),-3.47%,0.83,41,36.59%,
3/1/2020 - 5/1/2023,($1820.00),-1.72%,0.92,42,38.10%,
2/1/2020 - 5/1/2023,($820.00),-0.78%,0.96,44,38.64%,
1/1/2020 - 5/1/2023,($20.00),-0.02%,1.00,45,40.00%,
12/1/2019 - 5/1/2023,$230.00,0.22%,1.01,46,39.13%,
11/1/2019 - 5/1/2023,($770.00),-0.74%,0.97,47,38.30%,
10/1/2019 - 5/1/2023,($2540.00),-2.39%,0.90,49,36.73%,
9/1/2019 - 5/1/2023,($40.00),-0.04%,1.00,50,38.00%,
8/1/2019 - 5/1/2023,($100.00),-0.10%,1.00,50,38.00%,
7/1/2019 - 5/1/2023,($1290.00),-1.23%,0.95,51,37.25%,
6/1/2019 - 5/1/2023,($1100.00),-1.05%,0.96,51,37.25%,
5/1/2019 - 5/1/2023,($2220.00),-2.09%,0.92,53,35.85%,
4/1/2019 - 5/1/2023,($1710.00),-1.62%,0.94,53,37.74%,
3/1/2019 - 5/1/2023,($2330.00),-2.19%,0.92,55,38.18%,
2/1/2019 - 5/1/2023,($2680.00),-2.52%,0.91,56,37.50%,
1/1/2019 - 5/1/2023,($2570.00),-2.41%,0.91,58,37.93%,
12/1/2018 - 5/1/2023,($1310.00),-1.25%,0.96,59,38.98%,
11/1/2018 - 5/1/2023,($570.00),-0.55%,0.98,59,38.98%,
10/1/2018 - 5/1/2023,$1280.00,1.25%,1.04,61,39.34%,
9/1/2018 - 5/1/2023,$1220.00,1.19%,1.04,63,39.68%,
8/1/2018 - 5/1/2023,$2860.00,2.83%,1.09,64,40.63%,
7/1/2018 - 5/1/2023,$3860.00,3.86%,1.12,66,40.91%,
6/1/2018 - 5/1/2023,$3860.00,3.86%,1.12,66,40.91%,
5/1/2018 - 5/1/2023,$3860.00,3.86%,1.12,66,40.91%,


Weekly

,,,,,,
TradeStation Periodical Returns: Weekly,,,,,,
,,,,,,
Mark-To-Market Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
5/7/2023,($370.00),-0.35%,0.00,1,0.00%,
4/30/2023,($40.00),-0.04%,0.00,1,0.00%,
4/23/2023,$280.00,0.27%,n/a,1,100.00%,
4/16/2023,($840.00),-0.80%,0.00,1,0.00%,
4/9/2023,($280.00),-0.27%,0.00,1,0.00%,
4/2/2023,$210.00,0.20%,n/a,1,100.00%,
3/26/2023,($90.00),-0.09%,0.00,1,0.00%,
2/26/2023,$1120.00,1.08%,n/a,1,100.00%,
2/19/2023,($350.00),-0.34%,0.00,1,0.00%,
2/12/2023,$1560.00,1.52%,n/a,1,100.00%,
2/5/2023,$270.00,0.26%,n/a,1,100.00%,
1/29/2023,($580.00),-0.56%,0.00,1,0.00%,
1/22/2023,($500.00),-0.48%,0.00,2,0.00%,
1/15/2023,$820.00,0.80%,n/a,1,100.00%,
1/8/2023,($500.00),-0.48%,0.00,1,0.00%,
1/1/2023,$20.00,0.02%,n/a,1,100.00%,
12/18/2022,($1500.00),-1.43%,0.00,1,0.00%,
12/11/2022,$340.00,0.33%,n/a,1,100.00%,
12/4/2022,$340.00,0.33%,n/a,1,100.00%,
11/27/2022,($670.00),-0.64%,0.00,1,0.00%,
11/20/2022,($90.00),-0.09%,0.00,1,0.00%,
11/13/2022,$560.00,0.54%,n/a,1,100.00%,
11/6/2022,$20.00,0.02%,n/a,1,100.00%,
9/18/2022,($870.00),-0.83%,0.00,1,0.00%,
9/11/2022,($130.00),-0.12%,0.00,1,0.00%,
7/31/2022,($680.00),-0.64%,0.00,1,0.00%,
7/24/2022,($320.00),-0.30%,0.00,1,0.00%,
7/10/2022,($1000.00),-0.93%,0.00,1,0.00%,
6/12/2022,($220.00),-0.20%,0.00,1,0.00%,
6/5/2022,($750.00),-0.69%,0.00,1,0.00%,
5/29/2022,$0.00,0.00%,n/a,1,0.00%,
5/22/2022,$540.00,0.50%,n/a,1,100.00%,
5/15/2022,($610.00),-0.56%,0.00,1,0.00%,
5/8/2022,$40.00,0.04%,n/a,1,100.00%,
5/1/2022,$1100.00,1.03%,n/a,1,100.00%,
4/24/2022,($290.00),-0.27%,0.00,1,0.00%,
4/17/2022,$790.00,0.74%,n/a,1,100.00%,
4/10/2022,$630.00,0.59%,n/a,1,100.00%,
4/3/2022,($320.00),-0.30%,0.00,1,0.00%,
3/27/2022,$450.00,0.43%,n/a,2,100.00%,
3/20/2022,($90.00),-0.09%,0.00,1,0.00%,
3/6/2022,($1000.00),-0.94%,0.00,1,0.00%,
2/27/2022,$90.00,0.08%,n/a,1,100.00%,
2/20/2022,($390.00),-0.36%,0.00,2,0.00%,
2/13/2022,($1720.00),-1.58%,0.00,1,0.00%,
2/6/2022,$1100.00,1.02%,n/a,2,100.00%,
1/30/2022,($1640.00),-1.50%,0.00,1,0.00%,
1/23/2022,$950.00,0.88%,n/a,1,100.00%,
1/16/2022,$360.00,0.33%,n/a,1,100.00%,
12/26/2021,($1130.00),-1.03%,0.00,1,0.00%,
12/19/2021,($30.00),-0.03%,0.81,2,50.00%,
12/12/2021,$270.00,0.25%,n/a,1,100.00%,
12/5/2021,($40.00),-0.04%,0.00,1,0.00%,
11/28/2021,$110.00,0.10%,1.73,2,50.00%,
11/21/2021,($2020.00),-1.82%,0.00,1,0.00%,
11/14/2021,$670.00,0.61%,n/a,1,100.00%,
11/7/2021,$500.00,0.46%,n/a,1,100.00%,
10/31/2021,$560.00,0.51%,n/a,1,100.00%,
10/24/2021,$420.00,0.39%,n/a,1,100.00%,
10/17/2021,$190.00,0.17%,n/a,1,100.00%,
10/10/2021,$190.00,0.18%,1.30,2,50.00%,
10/3/2021,$460.00,0.43%,n/a,1,100.00%,
9/26/2021,$1260.00,1.18%,n/a,1,100.00%,
9/19/2021,($760.00),-0.71%,0.00,1,0.00%,
9/12/2021,$510.00,0.48%,n/a,1,100.00%,
9/5/2021,($380.00),-0.35%,0.00,1,0.00%,
8/29/2021,$190.00,0.18%,1.68,2,50.00%,
8/22/2021,($130.00),-0.12%,0.00,1,0.00%,
8/15/2021,$680.00,0.64%,n/a,1,100.00%,
7/25/2021,($450.00),-0.42%,0.00,1,0.00%,
7/18/2021,($550.00),-0.51%,0.00,1,0.00%,
7/4/2021,($100.00),-0.09%,0.00,1,0.00%,
6/27/2021,($590.00),-0.54%,0.00,1,0.00%,
6/20/2021,$110.00,0.10%,n/a,1,100.00%,
6/13/2021,($420.00),-0.39%,0.00,1,0.00%,
5/23/2021,($500.00),-0.46%,0.00,1,0.00%,
5/16/2021,($290.00),-0.27%,0.00,1,0.00%,
5/9/2021,($580.00),-0.53%,0.00,2,0.00%,
5/2/2021,($890.00),-0.80%,0.00,1,0.00%,
4/25/2021,$720.00,0.65%,n/a,1,100.00%,
4/18/2021,($290.00),-0.26%,0.00,2,0.00%,
4/11/2021,$620.00,0.56%,n/a,1,100.00%,
4/4/2021,($400.00),-0.36%,0.00,1,0.00%,
3/21/2021,$430.00,0.39%,n/a,1,100.00%,
3/14/2021,$1050.00,0.97%,n/a,1,100.00%,
3/7/2021,($320.00),-0.29%,0.00,1,0.00%,
2/28/2021,$840.00,0.78%,n/a,1,100.00%,
2/14/2021,($740.00),-0.68%,0.00,1,0.00%,
2/7/2021,($260.00),-0.24%,0.00,1,0.00%,
1/3/2021,($1180.00),-1.07%,0.00,1,0.00%,
12/27/2020,($20.00),-0.02%,0.00,1,0.00%,
12/20/2020,($520.00),-0.47%,0.28,2,50.00%,
12/13/2020,$90.00,0.08%,n/a,1,100.00%,
12/6/2020,$970.00,0.88%,n/a,1,100.00%,
11/29/2020,$1030.00,0.95%,n/a,1,100.00%,
10/11/2020,($770.00),-0.70%,0.00,1,0.00%,
10/4/2020,$330.00,0.30%,2.43,2,50.00%,
9/27/2020,$1010.00,0.93%,n/a,1,100.00%,
9/20/2020,($50.00),-0.05%,0.90,2,50.00%,
9/13/2020,($230.00),-0.21%,0.65,2,50.00%,
9/6/2020,$380.00,0.35%,n/a,1,100.00%,
8/30/2020,$650.00,0.60%,n/a,1,100.00%,
8/23/2020,($1300.00),-1.19%,0.00,1,0.00%,
8/16/2020,$300.00,0.28%,n/a,1,100.00%,
7/26/2020,$1190.00,1.11%,n/a,1,100.00%,
7/19/2020,$490.00,0.46%,n/a,1,100.00%,
7/12/2020,$680.00,0.64%,n/a,2,100.00%,
7/5/2020,($130.00),-0.12%,0.00,1,0.00%,
6/7/2020,($1000.00),-0.93%,0.00,1,0.00%,
5/31/2020,($170.00),-0.16%,0.00,1,0.00%,
5/24/2020,($500.00),-0.46%,0.25,2,50.00%,
5/10/2020,($730.00),-0.67%,0.00,1,0.00%,
5/3/2020,($590.00),-0.54%,0.00,2,0.00%,
4/26/2020,$630.00,0.58%,n/a,1,100.00%,
4/19/2020,($170.00),-0.16%,0.00,1,0.00%,
4/12/2020,$470.00,0.43%,n/a,1,100.00%,
4/5/2020,$610.00,0.57%,n/a,1,100.00%,
3/29/2020,($40.00),-0.04%,0.00,1,0.00%,
3/22/2020,$90.00,0.08%,n/a,1,100.00%,
3/15/2020,$1190.00,1.12%,n/a,1,100.00%,
3/8/2020,$810.00,0.77%,n/a,1,100.00%,
2/23/2020,$1510.00,1.45%,n/a,1,100.00%,
2/16/2020,$460.00,0.44%,n/a,1,100.00%,
2/9/2020,$30.00,0.03%,n/a,1,100.00%,
2/2/2020,($1000.00),-0.96%,0.00,1,0.00%,
1/12/2020,$260.00,0.25%,n/a,1,100.00%,
1/5/2020,$720.00,0.69%,n/a,1,100.00%,
12/29/2019,$360.00,0.35%,n/a,1,100.00%,
12/22/2019,$710.00,0.69%,n/a,1,100.00%,
12/15/2019,($870.00),-0.84%,0.00,1,0.00%,
12/8/2019,($130.00),-0.13%,0.00,1,0.00%,
11/10/2019,($460.00),-0.44%,0.00,1,0.00%,
11/3/2019,($540.00),-0.52%,0.00,1,0.00%,
10/20/2019,($610.00),-0.58%,0.00,1,0.00%,
10/13/2019,($460.00),-0.44%,0.00,2,0.00%,
10/6/2019,($380.00),-0.36%,0.00,1,0.00%,
9/29/2019,$120.00,0.11%,n/a,1,100.00%,
9/22/2019,$0.00,0.00%,n/a,1,0.00%,
9/15/2019,$950.00,0.90%,n/a,1,100.00%,
9/8/2019,$530.00,0.51%,n/a,1,100.00%,
9/1/2019,$580.00,0.56%,n/a,1,100.00%,
8/25/2019,($130.00),-0.12%,0.00,1,0.00%,
8/18/2019,$320.00,0.31%,n/a,1,100.00%,
8/11/2019,($250.00),-0.24%,0.00,1,0.00%,
7/7/2019,($900.00),-0.86%,0.00,1,0.00%,
6/30/2019,($290.00),-0.28%,0.00,1,0.00%,
6/23/2019,$660.00,0.63%,n/a,1,100.00%,
6/16/2019,($470.00),-0.45%,0.00,1,0.00%,
5/12/2019,($400.00),-0.38%,0.00,1,0.00%,
5/5/2019,($590.00),-0.56%,0.00,1,0.00%,
4/28/2019,($350.00),-0.33%,0.00,2,0.00%,
4/21/2019,$490.00,0.46%,n/a,1,100.00%,
4/14/2019,$280.00,0.27%,n/a,1,100.00%,
4/7/2019,($40.00),-0.04%,0.00,1,0.00%,
3/17/2019,($910.00),-0.85%,0.00,1,0.00%,
3/10/2019,($190.00),-0.18%,0.00,2,0.00%,
3/3/2019,$200.00,0.19%,n/a,1,100.00%,
2/24/2019,($310.00),-0.29%,0.35,2,50.00%,
2/17/2019,($510.00),-0.48%,0.00,1,0.00%,
2/10/2019,$1100.00,1.04%,n/a,1,100.00%,
2/3/2019,($350.00),-0.33%,0.00,1,0.00%,
1/27/2019,($1420.00),-1.32%,0.00,2,0.00%,
1/20/2019,$680.00,0.63%,n/a,1,100.00%,
1/13/2019,$590.00,0.55%,n/a,1,100.00%,
1/6/2019,$260.00,0.24%,n/a,1,100.00%,
12/23/2018,$560.00,0.53%,n/a,1,100.00%,
12/16/2018,$340.00,0.32%,n/a,1,100.00%,
12/9/2018,$0.00,0.00%,n/a,1,0.00%,
12/2/2018,$360.00,0.34%,n/a,1,100.00%,
11/25/2018,$740.00,0.71%,n/a,1,100.00%,
10/21/2018,$750.00,0.72%,n/a,1,100.00%,
10/14/2018,$110.00,0.11%,n/a,1,100.00%,
10/7/2018,$1100.00,1.07%,n/a,1,100.00%,
9/30/2018,($110.00),-0.11%,0.27,2,50.00%,
9/23/2018,($1800.00),-1.72%,0.00,2,0.00%,
9/16/2018,$640.00,0.62%,n/a,1,100.00%,
9/9/2018,$470.00,0.46%,n/a,1,100.00%,
9/2/2018,$630.00,0.61%,n/a,1,100.00%,
8/26/2018,($360.00),-0.35%,0.00,1,0.00%,
8/19/2018,$2030.00,2.01%,n/a,1,100.00%,
8/12/2018,$270.00,0.27%,n/a,1,100.00%,
8/5/2018,($300.00),-0.30%,0.00,1,0.00%,
7/29/2018,($1000.00),-0.98%,0.00,1,0.00%,
7/22/2018,$860.00,0.85%,n/a,1,100.00%,
7/15/2018,$1140.00,1.14%,n/a,1,100.00%,
,,,,,,
Mark-To-Market Rolling Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
5/7/2023 - Today,($370.00),-0.35%,0.00,1,0.00%,
4/30/2023 - 5/7/2023,($410.00),-0.39%,0.00,1,0.00%,
4/23/2023 - 5/7/2023,($130.00),-0.13%,0.00,1,0.00%,
4/16/2023 - 5/7/2023,($970.00),-0.93%,0.00,2,0.00%,
4/9/2023 - 5/7/2023,($1250.00),-1.19%,0.00,2,0.00%,
4/2/2023 - 5/7/2023,($1040.00),-0.99%,0.00,2,0.00%,
3/26/2023 - 5/7/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/19/2023 - 5/7/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/12/2023 - 5/7/2023,($1130.00),-1.08%,0.00,2,0.00%,
3/5/2023 - 5/7/2023,($1130.00),-1.08%,0.00,2,0.00%,
2/26/2023 - 5/7/2023,($10.00),-0.01%,0.99,3,33.33%,
2/19/2023 - 5/7/2023,($360.00),-0.35%,0.68,3,33.33%,
2/12/2023 - 5/7/2023,$1200.00,1.17%,2.06,3,33.33%,
2/5/2023 - 5/7/2023,$1470.00,1.44%,2.30,3,33.33%,
1/29/2023 - 5/7/2023,$890.00,0.86%,1.79,3,33.33%,
1/22/2023 - 5/7/2023,$390.00,0.38%,1.24,4,25.00%,
1/15/2023 - 5/7/2023,$1210.00,1.18%,2.07,4,50.00%,
1/8/2023 - 5/7/2023,$710.00,0.69%,1.55,4,25.00%,
1/1/2023 - 5/7/2023,$730.00,0.71%,1.57,4,25.00%,
12/25/2022 - 5/7/2023,$730.00,0.71%,1.57,4,25.00%,
12/18/2022 - 5/7/2023,($770.00),-0.74%,0.72,5,20.00%,
12/11/2022 - 5/7/2023,($430.00),-0.41%,0.82,5,20.00%,
12/4/2022 - 5/7/2023,($90.00),-0.09%,0.96,5,20.00%,
11/27/2022 - 5/7/2023,($760.00),-0.73%,0.72,5,20.00%,
11/20/2022 - 5/7/2023,($850.00),-0.81%,0.70,5,20.00%,
11/13/2022 - 5/7/2023,($290.00),-0.28%,0.87,5,20.00%,
11/6/2022 - 5/7/2023,($270.00),-0.26%,0.88,5,20.00%,
10/30/2022 - 5/7/2023,($270.00),-0.26%,0.88,5,20.00%,
10/23/2022 - 5/7/2023,($270.00),-0.26%,0.88,5,20.00%,
10/16/2022 - 5/7/2023,($270.00),-0.26%,0.88,5,20.00%,
10/9/2022 - 5/7/2023,($270.00),-0.26%,0.88,5,20.00%,
10/2/2022 - 5/7/2023,($270.00),-0.26%,0.88,5,20.00%,
9/25/2022 - 5/7/2023,($270.00),-0.26%,0.88,5,20.00%,
9/18/2022 - 5/7/2023,($1140.00),-1.09%,0.64,6,16.67%,
9/11/2022 - 5/7/2023,($1270.00),-1.21%,0.61,6,16.67%,
9/4/2022 - 5/7/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/28/2022 - 5/7/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/21/2022 - 5/7/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/14/2022 - 5/7/2023,($1270.00),-1.21%,0.61,6,16.67%,
8/7/2022 - 5/7/2023,($1270.00),-1.21%,0.61,6,16.67%,
7/31/2022 - 5/7/2023,($1950.00),-1.84%,0.51,7,14.29%,
7/24/2022 - 5/7/2023,($2270.00),-2.14%,0.47,7,14.29%,
7/17/2022 - 5/7/2023,($2270.00),-2.14%,0.47,7,14.29%,
7/10/2022 - 5/7/2023,($3270.00),-3.05%,0.38,8,12.50%,
7/3/2022 - 5/7/2023,($3270.00),-3.05%,0.38,8,12.50%,
6/26/2022 - 5/7/2023,($3270.00),-3.05%,0.38,8,12.50%,
6/19/2022 - 5/7/2023,($3270.00),-3.05%,0.38,8,12.50%,
6/12/2022 - 5/7/2023,($3490.00),-3.25%,0.36,9,11.11%,
6/5/2022 - 5/7/2023,($4240.00),-3.92%,0.32,9,11.11%,
5/29/2022 - 5/7/2023,($4240.00),-3.92%,0.32,9,11.11%,
5/22/2022 - 5/7/2023,($3700.00),-3.44%,0.35,9,11.11%,
5/15/2022 - 5/7/2023,($4310.00),-3.98%,0.32,9,11.11%,
5/8/2022 - 5/7/2023,($4270.00),-3.95%,0.32,9,11.11%,
5/1/2022 - 5/7/2023,($3170.00),-2.96%,0.49,10,20.00%,
4/24/2022 - 5/7/2023,($3460.00),-3.22%,0.45,10,20.00%,
4/17/2022 - 5/7/2023,($2670.00),-2.51%,0.57,10,20.00%,
4/10/2022 - 5/7/2023,($2040.00),-1.93%,0.67,10,20.00%,
4/3/2022 - 5/7/2023,($2360.00),-2.22%,0.62,10,20.00%,
3/27/2022 - 5/7/2023,($1910.00),-1.81%,0.70,11,27.27%,
3/20/2022 - 5/7/2023,($2000.00),-1.89%,0.68,11,27.27%,
3/13/2022 - 5/7/2023,($2000.00),-1.89%,0.68,11,27.27%,
3/6/2022 - 5/7/2023,($3000.00),-2.81%,0.59,12,25.00%,
2/27/2022 - 5/7/2023,($2910.00),-2.73%,0.59,12,25.00%,
2/20/2022 - 5/7/2023,($3300.00),-3.08%,0.56,13,23.08%,
2/13/2022 - 5/7/2023,($5020.00),-4.61%,0.46,13,23.08%,
2/6/2022 - 5/7/2023,($3920.00),-3.64%,0.53,14,28.57%,
1/30/2022 - 5/7/2023,($5560.00),-5.08%,0.43,14,21.43%,
1/23/2022 - 5/7/2023,($4610.00),-4.25%,0.48,14,21.43%,
1/16/2022 - 5/7/2023,($4250.00),-3.93%,0.50,14,21.43%,
1/9/2022 - 5/7/2023,($4250.00),-3.93%,0.50,14,21.43%,
1/2/2022 - 5/7/2023,($4250.00),-3.93%,0.50,14,21.43%,
12/26/2021 - 5/7/2023,($5380.00),-4.92%,0.44,15,20.00%,
12/19/2021 - 5/7/2023,($5410.00),-4.95%,0.44,16,18.75%,
12/12/2021 - 5/7/2023,($5140.00),-4.72%,0.46,16,25.00%,
12/5/2021 - 5/7/2023,($5180.00),-4.75%,0.46,16,25.00%,
11/28/2021 - 5/7/2023,($5070.00),-4.65%,0.48,17,23.53%,
11/21/2021 - 5/7/2023,($7090.00),-6.39%,0.39,17,23.53%,
11/14/2021 - 5/7/2023,($6420.00),-5.82%,0.42,17,23.53%,
