Performance Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,All Trades,Long Trades,Short Trades,,,,,,,,,,,
7/25/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/24/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/23/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/22/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/21/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/20/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/19/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/18/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/17/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/16/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/15/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/14/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/13/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/12/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/11/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/10/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/9/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/8/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/7/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/6/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/5/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/4/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/3/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/2/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/1/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/30/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/29/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/28/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/27/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/26/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/25/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/24/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/23/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/22/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/21/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/20/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/19/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/18/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/17/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/16/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/15/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/14/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/13/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/12/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/11/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/10/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/9/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/8/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/7/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/6/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/5/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/4/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/3/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/2/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/1/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/31/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/30/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/29/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/28/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/27/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/26/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/25/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/24/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/23/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/22/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/21/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/20/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/19/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/18/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/17/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/16/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/15/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/14/2018 - 5/12/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Monthly,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TradeStation Periodical Returns: Monthly,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mark-To-Market Monthly Average Analysis:,,,,,,,,,,,,,,
Period,Avg. Net Profit,% Gain,% Profitable,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mark-To-Market Period Analysis:,,,,,,,,,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,,,,,,,,,
05/01/2023,($2870.00),-1.35%,0,2,0.00%,,,,,,,,,
04/01/2023,$4127.50,1.99%,n/a,2,100.00%,,,,,,,,,
03/01/2023,$4440.00,2.18%,2.75,2,50.00%,,,,,,,,,
02/01/2023,$6067.50,3.08%,n/a,2,100.00%,,,,,,,,,
01/01/2023,$8257.50,4.37%,4.26,4,75.00%,,,,,,,,,
12/01/2022,($3362.50),-1.75%,0.73,8,37.50%,,,,,,,,,
11/01/2022,$3492.50,1.85%,2.38,2,50.00%,,,,,,,,,
08/01/2022,$6970.00,3.83%,n/a,1,100.00%,,,,,,,,,
07/01/2022,$8520.00,4.92%,2.57,4,50.00%,,,,,,,,,
06/01/2022,($1792.50),-1.02%,0.17,2,50.00%,,,,,,,,,
05/01/2022,$6592.50,3.91%,18.46,2,50.00%,,,,,,,,,
03/01/2022,($2530.00),-1.48%,0,1,0.00%,,,,,,,,,
12/01/2021,($2842.50),-1.63%,0.56,4,25.00%,,,,,,,,,
11/01/2021,$4040.00,2.38%,4.75,3,66.67%,,,,,,,,,
10/01/2021,$2397.50,1.43%,n/a,1,100.00%,,,,,,,,,
09/01/2021,$530.00,0.32%,1.1,4,50.00%,,,,,,,,,
08/01/2021,$4612.50,2.84%,2.82,3,66.67%,,,,,,,,,
07/01/2021,($2070.00),-1.26%,0.18,2,50.00%,,,,,,,,,
06/01/2021,($2530.00),-1.52%,0,1,0.00%,,,,,,,,,
05/01/2021,($5065.00),-2.95%,0,1,0.00%,,,,,,,,,
04/01/2021,$2535.00,1.50%,n/a,1,100.00%,,,,,,,,,
12/01/2020,$2842.50,1.71%,n/a,2,100.00%,,,,,,,,,
11/01/2020,$4017.50,2.47%,10.98,2,50.00%,,,,,,,,,
09/01/2020,$707.50,0.44%,n/a,1,100.00%,,,,,,,,,
08/01/2020,$1735.00,1.08%,n/a,1,100.00%,,,,,,,,,
07/01/2020,($1355.00),-0.84%,0.7,4,25.00%,,,,,,,,,
06/01/2020,$5350.00,3.43%,2.17,5,40.00%,,,,,,,,,
05/01/2020,$375.00,0.24%,1.08,3,33.33%,,,,,,,,,
04/01/2020,$8415.00,5.71%,3.75,5,60.00%,,,,,,,,,
03/01/2020,$16820.00,12.89%,6.5,6,66.67%,,,,,,,,,
02/01/2020,$4230.00,3.35%,3.76,2,50.00%,,,,,,,,,
01/01/2020,($4235.00),-3.24%,0.21,5,20.00%,,,,,,,,,
12/01/2019,$122.50,0.09%,n/a,1,100.00%,,,,,,,,,
11/01/2019,$3745.00,2.96%,n/a,2,100.00%,,,,,,,,,
10/01/2019,$2717.50,2.19%,99.82,2,50.00%,,,,,,,,,
09/01/2019,$3775.00,3.14%,n/a,3,100.00%,,,,,,,,,
08/01/2019,($1222.50),-1.01%,0.78,3,33.33%,,,,,,,,,
07/01/2019,$2060.00,1.73%,1.81,4,75.00%,,,,,,,,,
06/01/2019,$8592.50,7.76%,n/a,2,100.00%,,,,,,,,,
05/01/2019,($5027.50),-4.34%,0.01,3,33.33%,,,,,,,,,
04/01/2019,$3800.00,3.39%,n/a,3,100.00%,,,,,,,,,
03/01/2019,$4147.50,3.85%,n/a,1,100.00%,,,,,,,,,
02/01/2019,$4770.00,4.63%,n/a,1,100.00%,,,,,,,,,
01/01/2019,$8937.50,9.50%,3.98,3,66.67%,,,,,,,,,
12/01/2018,($7117.50),-7.03%,0.06,4,25.00%,,,,,,,,,
11/01/2018,($90.00),-0.09%,0.99,3,33.33%,,,,,,,,,
09/01/2018,($1127.50),-1.10%,0,1,0.00%,,,,,,,,,
08/01/2018,$2442.50,2.44%,n/a,2,100.00%,,,,,,,,,
,,,,,,,,,,,,,,
Mark-To-Market Rolling Period Analysis:,,,,,,,,,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,,,,,,,,,
5/1/2023 - Today,($2870.00),-1.35%,0,2,0.00%,,,,,,,,,
4/1/2023 - 5/1/2023,$1257.50,0.61%,1.44,4,50.00%,,,,,,,,,
3/1/2023 - 5/1/2023,$5697.50,2.80%,2.06,6,50.00%,,,,,,,,,
2/1/2023 - 5/1/2023,$11765.00,5.97%,3.18,8,62.50%,,,,,,,,,
1/1/2023 - 5/1/2023,$20022.50,10.60%,3.52,11,63.64%,,,,,,,,,
12/1/2022 - 5/1/2023,$16660.00,8.66%,1.81,19,52.63%,,,,,,,,,
11/1/2022 - 5/1/2023,$20152.50,10.67%,1.87,20,50.00%,,,,,,,,,
10/1/2022 - 5/1/2023,$20152.50,10.67%,1.87,20,50.00%,,,,,,,,,
9/1/2022 - 5/1/2023,$20152.50,10.67%,1.87,20,50.00%,,,,,,,,,
8/1/2022 - 5/1/2023,$27122.50,14.92%,2.17,21,52.38%,,,,,,,,,
7/1/2022 - 5/1/2023,$35642.50,20.57%,2.25,25,52.00%,,,,,,,,,
6/1/2022 - 5/1/2023,$33850.00,19.33%,2.12,26,50.00%,,,,,,,,,
5/1/2022 - 5/1/2023,$40442.50,24.00%,2.32,27,51.85%,,,,,,,,,
4/1/2022 - 5/1/2023,$40442.50,24.00%,2.32,27,51.85%,,,,,,,,,
3/1/2022 - 5/1/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
2/1/2022 - 5/1/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
1/1/2022 - 5/1/2023,$37912.50,22.17%,2.14,28,50.00%,,,,,,,,,
12/1/2021 - 5/1/2023,$35070.00,20.17%,1.88,32,46.88%,,,,,,,,,
11/1/2021 - 5/1/2023,$39110.00,23.03%,1.96,34,50.00%,,,,,,,,,
10/1/2021 - 5/1/2023,$41507.50,24.79%,2.02,34,50.00%,,,,,,,,,
9/1/2021 - 5/1/2023,$42037.50,25.19%,1.92,38,50.00%,,,,,,,,,
8/1/2021 - 5/1/2023,$46650.00,28.74%,1.96,41,51.22%,,,,,,,,,
7/1/2021 - 5/1/2023,$44580.00,27.12%,1.88,42,50.00%,,,,,,,,,
6/1/2021 - 5/1/2023,$42050.00,25.20%,1.79,43,48.84%,,,,,,,,,
5/1/2021 - 5/1/2023,$36985.00,21.51%,1.63,44,47.73%,,,,,,,,,
4/1/2021 - 5/1/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
3/1/2021 - 5/1/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
2/1/2021 - 5/1/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
1/1/2021 - 5/1/2023,$39520.00,23.33%,1.71,44,47.73%,,,,,,,,,
12/1/2020 - 5/1/2023,$42362.50,25.43%,1.76,46,50.00%,,,,,,,,,
11/1/2020 - 5/1/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
10/1/2020 - 5/1/2023,$46380.00,28.53%,1.83,47,51.06%,,,,,,,,,
9/1/2020 - 5/1/2023,$47087.50,29.09%,1.84,48,52.08%,,,,,,,,,
8/1/2020 - 5/1/2023,$48822.50,30.49%,1.87,49,53.06%,,,,,,,,,
7/1/2020 - 5/1/2023,$47467.50,29.40%,1.78,52,50.00%,,,,,,,,,
6/1/2020 - 5/1/2023,$52817.50,33.83%,1.81,57,49.12%,,,,,,,,,
5/1/2020 - 5/1/2023,$53192.50,34.15%,1.76,60,48.33%,,,,,,,,,
4/1/2020 - 5/1/2023,$61607.50,41.81%,1.86,64,48.44%,,,,,,,,,
3/1/2020 - 5/1/2023,$78427.50,60.09%,2.05,70,50.00%,,,,,,,,,
2/1/2020 - 5/1/2023,$82657.50,65.45%,2.09,72,50.00%,,,,,,,,,
1/1/2020 - 5/1/2023,$78422.50,60.08%,1.97,76,48.68%,,,,,,,,,
12/1/2019 - 5/1/2023,$78545.00,60.23%,1.98,77,49.35%,,,,,,,,,
11/1/2019 - 5/1/2023,$82290.00,64.97%,2.02,78,50.00%,,,,,,,,,
10/1/2019 - 5/1/2023,$85007.50,68.59%,2.06,79,50.63%,,,,,,,,,
9/1/2019 - 5/1/2023,$88782.50,73.88%,2.1,82,52.44%,,,,,,,,,
8/1/2019 - 5/1/2023,$87560.00,72.13%,2.02,84,51.19%,,,,,,,,,
7/1/2019 - 5/1/2023,$89620.00,75.10%,2.02,87,51.72%,,,,,,,,,
6/1/2019 - 5/1/2023,$98212.50,88.69%,2.12,88,52.27%,,,,,,,,,
5/1/2019 - 5/1/2023,$93185.00,80.50%,2,91,51.65%,,,,,,,,,
4/1/2019 - 5/1/2023,$96985.00,86.62%,2.04,94,53.19%,,,,,,,,,
3/1/2019 - 5/1/2023,$101132.50,93.80%,2.09,94,53.19%,,,,,,,,,
2/1/2019 - 5/1/2023,$105902.50,102.77%,2.14,95,53.68%,,,,,,,,,
1/1/2019 - 5/1/2023,$114840.00,122.03%,2.19,98,54.08%,,,,,,,,,
12/1/2018 - 5/1/2023,$107722.50,106.42%,2.04,101,52.48%,,,,,,,,,
11/1/2018 - 5/1/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
10/1/2018 - 5/1/2023,$107632.50,106.24%,1.98,104,51.92%,,,,,,,,,
9/1/2018 - 5/1/2023,$106505.00,103.97%,1.96,105,51.43%,,,,,,,,,
8/1/2018 - 5/1/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
7/1/2018 - 5/1/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
6/1/2018 - 5/1/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
5/1/2018 - 5/1/2023,$108947.50,108.95%,2,106,52.83%,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Weekly,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TradeStation Periodical Returns: Weekly,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mark-To-Market Period Analysis:,,,,,,,,,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,,,,,,,,,
05/07/2023,($340.00),-0.16%,0,1,0.00%,,,,,,,,,
4/30/2023,($2530.00),-1.19%,0,1,0.00%,,,,,,,,,
4/23/2023,$2007.50,0.96%,n/a,1,100.00%,,,,,,,,,
4/16/2023,$647.50,0.31%,n/a,1,100.00%,,,,,,,,,
04/09/2023,$1587.50,0.76%,n/a,1,100.00%,,,,,,,,,
04/02/2023,($115.00),-0.06%,0,1,0.00%,,,,,,,,,
3/26/2023,$5547.50,2.74%,n/a,1,100.00%,,,,,,,,,
3/19/2023,($1107.50),-0.54%,0.56,2,50.00%,,,,,,,,,
02/05/2023,$1620.00,0.80%,n/a,1,100.00%,,,,,,,,,
1/29/2023,$6970.00,3.58%,n/a,1,100.00%,,,,,,,,,
1/22/2023,$4822.50,2.54%,n/a,1,100.00%,,,,,,,,,
1/15/2023,($382.50),-0.20%,0.85,2,50.00%,,,,,,,,,
01/08/2023,$1295.00,0.69%,n/a,1,100.00%,,,,,,,,,
12/25/2022,$397.50,0.21%,n/a,1,100.00%,,,,,,,,,
12/18/2022,($1557.50),-0.82%,0.38,2,50.00%,,,,,,,,,
12/11/2022,$2300.00,1.22%,1.45,3,33.33%,,,,,,,,,
12/04/2022,($5450.00),-2.82%,0,3,0.00%,,,,,,,,,
11/27/2022,$3385.00,1.78%,n/a,1,100.00%,,,,,,,,,
11/20/2022,$2925.00,1.56%,n/a,1,100.00%,,,,,,,,,
11/13/2022,($1870.00),-0.99%,0.26,2,50.00%,,,,,,,,,
08/07/2022,$5635.00,3.08%,n/a,1,100.00%,,,,,,,,,
7/31/2022,$1335.00,0.73%,n/a,1,100.00%,,,,,,,,,
7/24/2022,$4440.00,2.50%,2.75,2,50.00%,,,,,,,,,
7/17/2022,$3622.50,2.08%,n/a,1,100.00%,,,,,,,,,
07/10/2022,($5130.00),-2.87%,0.39,2,50.00%,,,,,,,,,
07/03/2022,$3700.00,2.11%,n/a,1,100.00%,,,,,,,,,
6/26/2022,$2247.50,1.30%,n/a,1,100.00%,,,,,,,,,
5/29/2022,($2530.00),-1.44%,0,1,0.00%,,,,,,,,,
5/22/2022,$6970.00,4.14%,n/a,1,100.00%,,,,,,,,,
03/06/2022,($3440.00),-2.00%,0,1,0.00%,,,,,,,,,
2/27/2022,$910.00,0.53%,n/a,1,100.00%,,,,,,,,,
12/19/2021,$2105.00,1.25%,2.35,2,50.00%,,,,,,,,,
12/12/2021,($5542.50),-3.18%,0,2,0.00%,,,,,,,,,
12/05/2021,$2047.50,1.19%,n/a,1,100.00%,,,,,,,,,
11/28/2021,($2530.00),-1.45%,0,1,0.00%,,,,,,,,,
11/21/2021,($427.50),-0.24%,0,1,0.00%,,,,,,,,,
11/14/2021,$812.50,0.47%,n/a,1,100.00%,,,,,,,,,
11/07/2021,$160.00,0.09%,n/a,1,100.00%,,,,,,,,,
10/31/2021,$4572.50,2.69%,n/a,1,100.00%,,,,,,,,,
10/24/2021,$2397.50,1.43%,n/a,1,100.00%,,,,,,,,,
9/19/2021,$3342.50,2.04%,2.91,2,50.00%,,,,,,,,,
09/12/2021,($1642.50),-0.99%,0,2,0.00%,,,,,,,,,
09/05/2021,($1755.00),-1.05%,0,2,0.00%,,,,,,,,,
8/29/2021,$585.00,0.35%,n/a,1,100.00%,,,,,,,,,
8/22/2021,$2822.50,1.72%,n/a,1,100.00%,,,,,,,,,
8/15/2021,($182.50),-0.11%,0.93,2,50.00%,,,,,,,,,
08/08/2021,($27.50),-0.02%,0,1,0.00%,,,,,,,,,
08/01/2021,$2000.00,1.23%,n/a,1,100.00%,,,,,,,,,
7/25/2021,$460.00,0.28%,n/a,1,100.00%,,,,,,,,,
7/18/2021,($2927.50),-1.78%,0,1,0.00%,,,,,,,,,
07/11/2021,($2075.00),-1.24%,0,1,0.00%,,,,,,,,,
07/04/2021,$2472.50,1.50%,n/a,1,100.00%,,,,,,,,,
6/20/2021,($740.00),-0.45%,0,1,0.00%,,,,,,,,,
6/13/2021,($4150.00),-2.45%,0,1,0.00%,,,,,,,,,
06/06/2021,$887.50,0.53%,n/a,1,100.00%,,,,,,,,,
5/30/2021,$1472.50,0.88%,n/a,1,100.00%,,,,,,,,,
05/09/2021,($7602.50),-4.36%,0,1,0.00%,,,,,,,,,
05/02/2021,$2537.50,1.48%,n/a,1,100.00%,,,,,,,,,
4/25/2021,$150.00,0.09%,n/a,1,100.00%,,,,,,,,,
4/18/2021,($237.50),-0.14%,0,1,0.00%,,,,,,,,,
04/11/2021,$2622.50,1.55%,n/a,1,100.00%,,,,,,,,,
12/13/2020,$957.50,0.57%,n/a,1,100.00%,,,,,,,,,
11/29/2020,$1482.50,0.89%,n/a,1,100.00%,,,,,,,,,
11/22/2020,$4420.00,2.72%,n/a,1,100.00%,,,,,,,,,
9/27/2020,$707.50,0.44%,n/a,1,100.00%,,,,,,,,,
08/02/2020,$1735.00,1.08%,n/a,1,100.00%,,,,,,,,,
7/26/2020,$2975.00,1.89%,n/a,1,100.00%,,,,,,,,,
7/19/2020,($500.00),-0.32%,0,1,0.00%,,,,,,,,,
07/12/2020,($770.00),-0.49%,0.5,2,50.00%,,,,,,,,,
07/05/2020,($3060.00),-1.89%,0,2,0.00%,,,,,,,,,
6/28/2020,$4970.00,3.18%,n/a,1,100.00%,,,,,,,,,
6/21/2020,$1910.00,1.24%,1.62,3,33.33%,,,,,,,,,
6/14/2020,($1530.00),-0.98%,0,1,0.00%,,,,,,,,,
05/10/2020,($1530.00),-0.97%,0,1,0.00%,,,,,,,,,
05/03/2020,$4970.00,3.25%,n/a,1,100.00%,,,,,,,,,
4/26/2020,($1157.50),-0.75%,0.24,2,50.00%,,,,,,,,,
4/19/2020,$3067.50,2.03%,3,2,50.00%,,,,,,,,,
04/12/2020,$4970.00,3.41%,n/a,1,100.00%,,,,,,,,,
3/29/2020,$3440.00,2.42%,3.25,2,50.00%,,,,,,,,,
3/22/2020,$3440.00,2.48%,3.25,2,50.00%,,,,,,,,,
3/15/2020,$4970.00,3.71%,n/a,1,100.00%,,,,,,,,,
03/08/2020,($1530.00),-1.13%,0,1,0.00%,,,,,,,,,
03/01/2020,$4970.00,3.81%,n/a,1,100.00%,,,,,,,,,
2/23/2020,($2365.00),-1.78%,0,1,0.00%,,,,,,,,,
2/16/2020,($2087.50),-1.55%,0,1,0.00%,,,,,,,,,
02/09/2020,$2922.50,2.21%,n/a,1,100.00%,,,,,,,,,
02/02/2020,$5760.00,4.56%,n/a,1,100.00%,,,,,,,,,
1/26/2020,($2320.00),-1.80%,0,2,0.00%,,,,,,,,,
1/19/2020,($1530.00),-1.18%,0,1,0.00%,,,,,,,,,
01/12/2020,$1145.00,0.89%,n/a,1,100.00%,,,,,,,,,
01/05/2020,($1530.00),-1.17%,0,1,0.00%,,,,,,,,,
12/08/2019,$10.00,0.01%,n/a,1,100.00%,,,,,,,,,
12/01/2019,$112.50,0.09%,n/a,1,100.00%,,,,,,,,,
11/24/2019,$1612.50,1.25%,n/a,1,100.00%,,,,,,,,,
11/17/2019,$697.50,0.54%,n/a,1,100.00%,,,,,,,,,
11/03/2019,$60.00,0.05%,n/a,1,100.00%,,,,,,,,,
10/27/2019,$1347.50,1.06%,n/a,1,100.00%,,,,,,,,,
10/06/2019,$2745.00,2.21%,n/a,1,100.00%,,,,,,,,,
9/22/2019,$707.50,0.57%,n/a,1,100.00%,,,,,,,,,
09/08/2019,$1520.00,1.25%,n/a,1,100.00%,,,,,,,,,
09/01/2019,$1547.50,1.29%,n/a,1,100.00%,,,,,,,,,
8/25/2019,$3462.50,2.97%,n/a,1,100.00%,,,,,,,,,
8/18/2019,($1800.00),-1.52%,0,1,0.00%,,,,,,,,,
08/11/2019,$230.00,0.19%,1.09,2,50.00%,,,,,,,,,
7/28/2019,($5060.00),-4.10%,0,2,0.00%,,,,,,,,,
7/21/2019,$1285.00,1.05%,n/a,1,100.00%,,,,,,,,,
7/14/2019,($202.50),-0.17%,0,1,0.00%,,,,,,,,,
07/07/2019,$610.00,0.50%,n/a,1,100.00%,,,,,,,,,
6/30/2019,$2312.50,1.94%,n/a,1,100.00%,,,,,,,,,
6/23/2019,($312.50),-0.26%,0,1,0.00%,,,,,,,,,
6/16/2019,$2787.50,2.39%,n/a,1,100.00%,,,,,,,,,
06/09/2019,$147.50,0.13%,n/a,1,100.00%,,,,,,,,,
06/02/2019,$5970.00,5.39%,n/a,1,100.00%,,,,,,,,,
5/26/2019,($3802.50),-3.32%,0,1,0.00%,,,,,,,,,
5/19/2019,($1512.50),-1.30%,0,1,0.00%,,,,,,,,,
05/12/2019,$2785.00,2.46%,n/a,1,100.00%,,,,,,,,,
05/05/2019,($4032.50),-3.44%,0,2,0.00%,,,,,,,,,
4/28/2019,$1570.00,1.36%,n/a,2,100.00%,,,,,,,,,
4/21/2019,$560.00,0.49%,n/a,1,100.00%,,,,,,,,,
4/14/2019,($127.50),-0.11%,0,1,0.00%,,,,,,,,,
04/07/2019,$1510.00,1.33%,n/a,1,100.00%,,,,,,,,,
3/31/2019,$1822.50,1.63%,n/a,1,100.00%,,,,,,,,,
3/24/2019,$1350.00,1.22%,n/a,1,100.00%,,,,,,,,,
3/17/2019,($950.00),-0.85%,0,1,0.00%,,,,,,,,,
03/10/2019,$3887.50,3.61%,n/a,1,100.00%,,,,,,,,,
03/03/2019,($140.00),-0.13%,0,1,0.00%,,,,,,,,,
2/24/2019,$185.00,0.17%,n/a,1,100.00%,,,,,,,,,
2/17/2019,$712.50,0.67%,n/a,1,100.00%,,,,,,,,,
02/10/2019,$3537.50,3.42%,n/a,1,100.00%,,,,,,,,,
02/03/2019,$335.00,0.33%,n/a,1,100.00%,,,,,,,,,
1/27/2019,$1885.00,1.86%,n/a,1,100.00%,,,,,,,,,
1/20/2019,($400.00),-0.39%,0,1,0.00%,,,,,,,,,
1/13/2019,$4485.00,4.62%,n/a,1,100.00%,,,,,,,,,
01/06/2019,$2010.00,2.11%,n/a,1,100.00%,,,,,,,,,
12/30/2018,$1430.00,1.53%,1.57,2,50.00%,,,,,,,,,
12/16/2018,($3870.00),-3.97%,0,2,0.00%,,,,,,,,,
12/09/2018,($1190.00),-1.21%,0,1,0.00%,,,,,,,,,
12/02/2018,($2530.00),-2.50%,0,1,0.00%,,,,,,,,,
11/25/2018,$6497.50,6.86%,n/a,1,100.00%,,,,,,,,,
11/18/2018,($3557.50),-3.62%,0,2,0.00%,,,,,,,,,
11/11/2018,($3030.00),-2.99%,0,1,0.00%,,,,,,,,,
09/09/2018,$235.00,0.23%,n/a,1,100.00%,,,,,,,,,
09/02/2018,($1362.50),-1.33%,0,1,0.00%,,,,,,,,,
